instancias/instancia26.txt_3_currentGA	instancias/instancia26.txt_3_bestGA	
5.93148e+06	5.93148e+06	
6.07064e+06	5.93148e+06	
5.91352e+06	5.91352e+06	
5.89954e+06	5.89954e+06	
6.23916e+06	5.89954e+06	
6.09108e+06	5.89954e+06	
5.97085e+06	5.89954e+06	
5.86252e+06	5.86252e+06	
6.00504e+06	5.86252e+06	
5.88611e+06	5.86252e+06	
6.0024e+06	5.86252e+06	
5.94041e+06	5.86252e+06	
5.99491e+06	5.86252e+06	
5.94637e+06	5.86252e+06	
6.09395e+06	5.86252e+06	
5.85125e+06	5.85125e+06	
5.97107e+06	5.85125e+06	
5.86948e+06	5.85125e+06	
5.99095e+06	5.85125e+06	
6.10411e+06	5.85125e+06	
6.14276e+06	5.85125e+06	
5.99892e+06	5.85125e+06	
6.05258e+06	5.85125e+06	
6.09205e+06	5.85125e+06	
6.19337e+06	5.85125e+06	
5.92092e+06	5.85125e+06	
6.08559e+06	5.85125e+06	
5.86265e+06	5.85125e+06	
5.948e+06	5.85125e+06	
6.15979e+06	5.85125e+06	
6.02455e+06	5.85125e+06	
5.92544e+06	5.85125e+06	
6.01598e+06	5.85125e+06	
6.1651e+06	5.85125e+06	
6.00733e+06	5.85125e+06	
5.75721e+06	5.75721e+06	
5.99046e+06	5.75721e+06	
5.96872e+06	5.75721e+06	
5.89458e+06	5.75721e+06	
6.27174e+06	5.75721e+06	
6.05663e+06	5.75721e+06	
6.0498e+06	5.75721e+06	
5.79705e+06	5.75721e+06	
5.85223e+06	5.75721e+06	
5.91687e+06	5.75721e+06	
6.10181e+06	5.75721e+06	
5.9268e+06	5.75721e+06	
6.26192e+06	5.75721e+06	
6.14788e+06	5.75721e+06	
5.87092e+06	5.75721e+06	
6.11402e+06	5.75721e+06	
6.01426e+06	5.75721e+06	
5.78202e+06	5.75721e+06	
6.11428e+06	5.75721e+06	
5.98648e+06	5.75721e+06	
5.88123e+06	5.75721e+06	
5.97575e+06	5.75721e+06	
5.88274e+06	5.75721e+06	
6.10447e+06	5.75721e+06	
6.14542e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.84307e+06	5.75721e+06	
5.9733e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
6.07329e+06	5.75721e+06	
5.8601e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.921e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.88432e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.82881e+06	5.75721e+06	
5.76889e+06	5.75721e+06	
6.05741e+06	5.75721e+06	
5.88493e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.88875e+06	5.75721e+06	
5.99309e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.96488e+06	5.75721e+06	
5.90698e+06	5.75721e+06	
5.79815e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.88432e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
6.17037e+06	5.75721e+06	
5.79815e+06	5.75721e+06	
6.03409e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
6.11231e+06	5.75721e+06	
5.87916e+06	5.75721e+06	
5.88875e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
6.05741e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
5.79815e+06	5.75721e+06	
5.93148e+06	5.75721e+06	
6.03409e+06	5.75721e+06	
5.79815e+06	5.75721e+06	
6.15741e+06	5.75721e+06	
6.15741e+06	5.75721e+06	
6.15741e+06	5.75721e+06	
6.15434e+06	5.75721e+06	
6.15741e+06	5.75721e+06	
6.07863e+06	5.75721e+06	
6.15741e+06	5.75721e+06	
6.15741e+06	5.75721e+06	
6.15741e+06	5.75721e+06	
6.15741e+06	5.75721e+06	
6.15741e+06	5.75721e+06	
6.17507e+06	5.75721e+06	
6.15741e+06	5.75721e+06	
6.15741e+06	5.75721e+06	
6.15741e+06	5.75721e+06	
6.14395e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.21938e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.16295e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.1785e+06	5.75721e+06	
6.03923e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.13377e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19175e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.02947e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.19233e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.23389e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
6.2346e+06	5.75721e+06	
