instancia26.txt_4_currentFirst	instancia26.txt_4_bestFirst	instancia26.txt_4_currentBest	instancia26.txt_4_bestBest	
5.56789e+06	5.49988e+06	5.51132e+06	5.49782e+06	
5.56147e+06	5.49988e+06	5.51052e+06	5.49782e+06	
5.55384e+06	5.49988e+06	5.50991e+06	5.49782e+06	
5.55289e+06	5.49988e+06	5.50788e+06	5.49782e+06	
5.54748e+06	5.49988e+06	5.50585e+06	5.49782e+06	
5.54507e+06	5.49988e+06	5.50531e+06	5.49782e+06	
5.54468e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.5436e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.54322e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53482e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53435e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53374e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53197e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53082e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53007e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52916e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52858e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52454e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52371e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52368e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52288e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52239e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52116e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52114e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52037e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52035e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51948e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51809e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51808e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51766e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51012e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.50988e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.50878e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.50688e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.5065e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.50649e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.50626e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.50507e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.50504e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.50503e+06	5.49988e+06	5.50497e+06	5.49782e+06	
6.04779e+06	5.49988e+06	5.50497e+06	5.49782e+06	
6.10584e+06	5.49988e+06	5.50497e+06	5.49782e+06	
6.09508e+06	5.49988e+06	5.50497e+06	5.49782e+06	
6.09494e+06	5.49988e+06	5.50497e+06	5.49782e+06	
6.09407e+06	5.49988e+06	5.50497e+06	5.49782e+06	
6.09305e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.99428e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.99136e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.94902e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.91624e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.89462e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.85632e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.85046e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.83981e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.81562e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.79369e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.79264e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.76038e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.75938e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.72524e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.71821e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.7137e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.70001e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.69747e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.6754e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.65504e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.648e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.64471e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.64346e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.64281e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.6428e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.63837e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.62707e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.6127e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.60611e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.59076e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.58853e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.58749e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.57539e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.57465e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55563e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55398e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55287e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55245e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.5499e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.54538e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.54409e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.54131e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53981e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53893e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53868e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53704e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52953e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52773e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52757e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52705e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52698e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52629e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51992e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51872e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51855e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51835e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51382e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51311e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51289e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51243e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51097e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.50961e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.50851e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.5051e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.50404e+06	5.49988e+06	5.50497e+06	5.49782e+06	
6.04779e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.95892e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.94482e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.93186e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.92196e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.89242e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.88882e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.87673e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.86709e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.85454e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.78493e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.7748e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.76917e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.75298e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.75286e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.74577e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.74081e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.74045e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.73697e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.73457e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.70853e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.70505e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.69419e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.69377e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.68289e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.67366e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.67342e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.66813e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.66388e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.66189e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.65753e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.65466e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.65271e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.64517e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.62818e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.62567e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.61689e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.58862e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.5848e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.58375e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.57196e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.56791e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55736e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55684e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55418e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55414e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.54934e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.54888e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.5404e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53986e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.5396e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53956e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53532e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52021e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51934e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51183e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51143e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51098e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.50947e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.50934e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.50867e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.50847e+06	5.49988e+06	5.50497e+06	5.49782e+06	
6.04779e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.84375e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.83421e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.82389e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.82226e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.80216e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.80054e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.77741e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.77655e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.77496e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.73928e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.73334e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.73259e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.71557e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.71172e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.70953e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.65585e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.65376e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.63267e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.63109e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.63022e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.60779e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.59191e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.56934e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.56835e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.56613e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55752e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55509e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55498e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55498e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55467e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55267e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55175e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.55119e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.54397e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.54229e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.54058e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53364e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53323e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.53295e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52934e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52763e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52732e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52517e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52469e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.52445e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.5182e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51698e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51462e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51452e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51443e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51438e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51436e+06	5.49988e+06	5.50497e+06	5.49782e+06	
5.51436e+06	5.49988e+06	5.50497e+06	5.49782e+06	
